Warning: truncated output (original token count: 39953)
Total output lines: 2077

iso_week,chokepoint_id,vessel_type,transit_count,year,observation_date,transit_baseline,transit_baseline_ratio
12,Dover,Tanker,413.0,2022,2022-03-21,413.1818181818182,0.9995599559955995
12,Hormuz,Cargo,161.0,2022,2022-03-21,125.54545454545455,1.282404055032585
12,Hormuz,Other,117.0,2022,2022-03-21,95.63636363636364,1.2233840304182508
12,Hormuz,Tanker,443.0,2022,2022-03-21,343.90909090909093,1.2881311128733808
12,Suez,Cargo,161.0,2022,2022-03-21,156.54545454545453,1.0284552845528456
12,Suez,Other,87.0,2022,2022-03-21,108.0909090909091,0.8048780487804877
12,Suez,Tanker,116.0,2022,2022-03-21,95.0,1.2210526315789474
12,Taiwan Strait,Cargo,561.0,2022,2022-03-21,592.2727272727273,0.9471987720644667
12,Taiwan Strait,Other,254.0,2022,2022-03-21,234.1818181818182,1.0846273291925466
12,Taiwan Strait,Tanker,202.0,2022,2022-03-21,194.36363636363637,1.039289055191768
13,Bab-Al Mandab Strait,Cargo,171.0,2022,2022-03-28,172.25,0.9927431059506531
13,Bab-Al Mandab Strait,Other,137.0,2022,2022-03-28,116.25,1.178494623655914
13,Bab-Al Mandab Strait,Tanker,131.0,2022,2022-03-28,113.75,1.1516483516483516
13,Cape of Good Hope,Cargo,65.0,2022,2022-03-28,60.583333333333336,1.0729023383768912
13,Cape of Good Hope,Other,152.0,2022,2022-03-28,190.16666666666666,0.7992988606485539
13,Cape of Good Hope,Tanker,70.0,2022,2022-03-28,79.83333333333333,0.8768267223382047
13,Dover,Cargo,654.0,2022,2022-03-28,654.75,0.9988545246277205
13,Dover,Other,196.0,2022,2022-03-28,182.91666666666666,1.0715261958997722
13,Dover,Tanker,445.0,2022,2022-03-28,413.1666666666667,1.0770471964501815
13,Hormuz,Cargo,142.0,2022,2022-03-28,128.5,1.105058365758755
13,Hormuz,Other,110.0,2022,2022-03-28,97.41666666666667,1.129170230966638
13,Hormuz,Tanker,405.0,2022,2022-03-28,352.1666666666667,1.150023663038334
13,Suez,Cargo,156.0,2022,2022-03-28,156.91666666666666,0.9941582580987786
13,Suez,Other,90.0,2022,2022-03-28,106.33333333333333,0.8463949843260189
13,Suez,Tanker,128.0,2022,2022-03-28,96.75,1.322997416020672
13,Taiwan Strait,Cargo,683.0,2022,2022-03-28,589.6666666666666,1.1582815149802148
13,Taiwan Strait,Other,325.0,2022,2022-03-28,235.83333333333334,1.3780918727915195
13,Taiwan Strait,Tanker,222.0,2022,2022-03-28,195.0,1.1384615384615384
14,Bab-Al Mandab Strait,Cargo,181.0,2022,2022-04-04,172.15384615384616,1.051385165326184
14,Bab-Al Mandab Strait,Other,119.0,2022,2022-04-04,117.84615384615384,1.0097911227154048
14,Bab-Al Mandab Strait,Tanker,140.0,2022,2022-04-04,115.07692307692308,1.2165775401069518
14,Cape of Good Hope,Cargo,68.0,2022,2022-04-04,60.92307692307692,1.1161616161616161
14,Cape of Good Hope,Other,195.0,2022,2022-04-04,187.23076923076923,1.041495480690222
14,Cape of Good Hope,Tanker,72.0,2022,2022-04-04,79.07692307692308,0.9105058365758755
14,Dover,Cargo,615.0,2022,2022-04-04,654.6923076923077,0.9393725766654917
14,Dover,Other,166.0,2022,2022-04-04,183.92307692307693,0.9025512337933919
14,Dover,Tanker,436.0,2022,2022-04-04,415.61538461538464,1.0490468258374976
14,Hormuz,Cargo,175.0,2022,2022-04-04,129.53846153846155,1.3509501187648456
14,Hormuz,Other,126.0,2022,2022-04-04,98.38461538461539,1.2806880375293197
14,Hormuz,Tanker,432.0,2022,2022-04-04,356.2307692307692,1.212697041675664
14,Suez,Cargo,165.0,2022,2022-04-04,156.84615384615384,1.0519862677783227
14,Suez,Other,115.0,2022,2022-04-04,105.07692307692308,1.0944363103953147
14,Suez,Tanker,125.0,2022,2022-04-04,99.15384615384616,1.26066718386346
14,Taiwan Strait,Cargo,838.0,2022,2022-04-04,596.8461538461538,1.4040469132620184
14,Taiwan Strait,Other,355.0,2022,2022-04-04,242.69230769230768,1.4627575277337561
14,Taiwan Strait,Tanker,254.0,2022,2022-04-04,197.07692307692307,1.2888368462138955
15,Bab-Al Mandab Strait,Cargo,167.0,2022,2022-04-11,172.78571428571428,0.9665150888797024
15,Bab-Al Mandab Strait,Other,104.0,2022,2022-04-11,117.92857142857143,0.8818897637795275
15,Bab-Al Mandab Strait,Tanker,137.0,2022,2022-04-11,116.85714285714286,1.1723716381418092
15,Cape of Good Hope,Cargo,55.0,2022,2022-04-11,61.42857142857143,0.8953488372093023
15,Cape of Good Hope,Other,177.0,2022,2022-04-11,187.78571428571428,0.9425637124381895
15,Cape of Good Hope,Tanker,73.0,2022,2022-04-11,78.57142857142857,0.9290909090909091
15,Dover,Cargo,669.0,2022,2022-04-11,651.8571428571429,1.0262984878369492
15,Dover,Other,207.0,2022,2022-04-11,182.64285714285714,1.1333594055533829
15,Dover,Tanker,443.0,2022,2022-04-11,417.07142857142856,1.0621681794827882
15,Hormuz,Cargo,151.0,2022,2022-04-11,132.78571428571428,1.1371705217859065
15,Hormuz,Other,107.0,2022,2022-04-11,100.35714285714286,1.0661921708185054
15,Hormuz,Tanker,438.0,2022,2022-04-11,361.64285714285717,1.2111396405293304
15,Suez,Cargo,167.0,2022,2022-04-11,157.42857142857142,1.060798548094374
15,Suez,Other,83.0,2022,2022-04-11,105.78571428571429,0.7846049966239027
15,Suez,Tanker,127.0,2022,2022-04-11,101.0,1.2574257425742574
15,Taiwan Strait,Cargo,630.0,2022,2022-04-11,614.0714285714286,1.0259392811445853
15,Taiwan Strait,Other,306.0,2022,2022-04-11,250.71428571428572,1.2205128205128204
15,Taiwan Strait,Tanker,205.0,2022,2022-04-11,201.14285714285714,1.0191761363636365
16,Bab-Al Mandab Strait,Cargo,184.0,2022,2022-04-18,172.4,1.0672853828306264
16,Bab-Al Mandab Strait,Other,99.0,2022,2022-04-18,117.0,0.8461538461538461
16,Bab-Al Mandab Strait,Tanker,134.0,2022,2022-04-18,118.2,1.1336717428087986
16,Cape of Good Hope,Cargo,60.0,2022,2022-04-18,61.0,0.9836065573770492
16,Cape of Good Hope,Other,183.0,2022,2022-04-18,187.06666666666666,0.9782608695652174
16,Cape of Good Hope,Tanker,101.0,2022,2022-04-18,78.2,1.2915601023017902
16,Dover,Cargo,608.0,2022,2022-04-18,653.0,0.9310872894333844
16,Dover,Other,176.0,2022,2022-04-18,184.26666666666668,0.9551374819102749
16,Dover,Tanker,440.0,2022,2022-04-18,418.8,1.0506208213944603
16,Hormuz,Cargo,162.0,2022,2022-04-18,134.0,1.208955223880597
16,Hormuz,Other,117.0,2022,2022-04-18,100.8,1.1607142857142858
16,Hormuz,Tanker,422.0,2022,2022-04-18,366.73333333333335,1.150699872750409
16,Suez,Cargo,181.0,2022,2022-04-18,158.06666666666666,1.1450864614086884
16,Suez,Other,106.0,2022,2022-04-18,104.26666666666667,1.0166240409207161
16,Suez,Tanker,135.0,2022,2022-04-18,102.73333333333333,1.3140817650876055
16,Taiwan Strait,Cargo,625.0,2022,2022-04-18,615.1333333333333,1.0160398829522055
16,Taiwan Strait,Other,281.0,2022,2022-04-18,254.4,1.104559748427673
16,Taiwan Strait,Tanker,175.0,2022,2022-04-18,201.4,0.868917576961271
17,Bab-Al Mandab Strait,Cargo,196.0,2022,2022-04-25,173.125,1.132129963898917
17,Bab-Al Mandab Strait,Other,109.0,2022,2022-04-25,115.875,0.9406688241639698
17,Bab-Al Mandab Strait,Tanker,140.0,2022,2022-04-25,119.1875,1.1746198217094914
17,Cape of Good Hope,Cargo,74.0,2022,2022-04-25,60.9375,1.2143589743589744
17,Cape of Good Hope,Other,195.0,2022,2022-04-25,186.8125,1.0438273670123788
17,Cape of Good Hope,Tanker,87.0,2022,2022-04-25,79.625,1.0926216640502355
17,Dover,Cargo,689.0,2022,2022-04-25,650.1875,1.0596943189464578
17,Dover,Other,223.0,2022,2022-04-25,183.75,1.2136054421768707
17,Dover,Tanker,439.0,2022,2022-04-25,420.125,1.0449271050282654
17,Hormuz,Cargo,166.0,2022,2022-04-25,135.75,1.2228360957642725
17,Hormuz,Other,100.0,2022,2022-04-25,101.8125,0.9821976672805403
17,Hormuz,Tanker,406.0,2022,2022-04-25,370.1875,1.096741516123586
17,Suez,Cargo,173.0,2022,2022-04-25,159.5,1.084639498432602
17,Suez,Other,90.0,2022,2022-04-25,104.375,0.8622754491017964
17,Suez,Tanker,126.0,2022,2022-04-25,104.75,1.2028639618138426
17,Taiwan Strait,Cargo,675.0,2022,2022-04-25,615.75,1.0962241169305724
17,Taiwan Strait,Other,253.0,2022,2022-04-25,256.0625,0.9880400292897242
17,Taiwan Strait,Tanker,186.0,2022,2022-04-25,199.75,0.9311639549436797
18,Bab-Al Mandab Strait,Cargo,171.0,2022,2022-05-02,174.47058823529412,0.9801078894133514
18,Bab-Al Mandab Strait,Other,115.0,2022,2022-05-02,115.47058823529412,0.9959246051961284
18,Bab-Al Mandab Strait,Tanker,144.0,2022,2022-05-02,120.41176470588235,1.195896433805569
18,Cape of Good Hope,Cargo,64.0,2022,2022-05-02,61.705882352941174,1.0371782650142993
18,Cape of Good Hope,Other,226.0,2022,2022-05-02,187.2941176470588,1.2066582914572865
18,Cape of Good Hope,Tanker,76.0,2022,2022-05-02,80.05882352941177,0.9493019838354151
18,Dover,Cargo,656.0,2022,2022-05-02,652.4705882352941,1.0054093040028849
18,Dover,Other,197.0,2022,2022-05-02,186.05882352941177,1.0588049320265571
18,Dover,Tanker,457.0,2022,2022-05-02,421.2352941176471,1.084904342968859
18,Hormuz,Cargo,185.0,2022,2022-05-02,137.52941176470588,1.3451668092386655
18,Hormuz,Other,125.0,2022,2022-05-02,101.70588235294117,1.2290341237709659
18,Hormuz,Tanker,432.0,2022,2022-05-02,372.29411764705884,1.1603728867119607
18,Suez,Cargo,161.0,2022,2022-05-02,160.2941176470588,1.0044036697247707
18,Suez,Other,93.0,2022,2022-05-02,103.52941176470588,0.8982954545454546
18,Suez,Tanker,135.0,2022,2022-05-02,106.0,1.2735849056603774
18,Taiwan Strait,Cargo,748.0,2022,2022-05-02,619.2352941176471,1.2079414838035527
18,Taiwan Strait,Other,331.0,2022,2022-05-02,255.88235294117646,1.2935632183908046
18,Taiwan Strait,Tanker,247.0,2022,2022-05-02,198.94117647058823,1.2415730337078652
19,Bab-Al Mandab Strait,Cargo,161.0,2022,2022-05-09,174.27777777777777,0.9238125597704814
19,Bab-Al Mandab Strait,Other,114.0,2022,2022-05-09,115.44444444444444,0.987487969201155
19,Bab-Al Mandab Strait,Tanker,117.0,2022,2022-05-09,121.72222222222223,0.9612049292560474
19,Cape of Good Hope,Cargo,51.0,2022,2022-05-09,61.833333333333336,0.8247978436657681
19,Cape of Good Hope,Other,184.0,2022,2022-05-09,189.44444444444446,0.9712609970674486
19,Cape of Good Hope,Tanker,67.0,2022,2022-05-09,79.83333333333333,0.8392484342379959
19,Dover,Cargo,597.0,2022,2022-05-09,652.6666666666666,0.9147088866189991
19,Dover,Other,179.0,2022,2022-05-09,186.66666666666666,0.9589285714285715
19,Dover,Tanker,384.0,2022,2022-05-09,423.22222222222223,0.9073247571541087
19,Hormuz,Cargo,126.0,2022,2022-05-09,140.16666666666666,0.8989298454221166
19,Hormuz,Other,82.0,2022,2022-05-09,103.0,0.7961165048543689
19,Hormuz,Tanker,308.0,2022,2022-05-09,375.6111111111111,0.8199970418577134
19,Suez,Cargo,120.0,2022,2022-05-09,160.33333333333334,0.7484407484407484
